Provincia,densidad,mujeres,extranjeros,edadmedia,pensionistas,pension,base_cotizacion,autonomos,tasa_paro,tasa_paro_juvenil,esperanza_vida,imv,agricultura,industria,construccion,servicios,pib,n_hipotecas,importe_hipotecas,n_sociedades,capital_sociedades,ipc,alquiler_vivienda,compra_vivienda,estudios_superiores,lengua_cooficial,govern_dip_esq,izquierda,PP,PSOE,VOX,SUMAR
Salamanca,"26,39","51,47","4,87","48,68","23,31","1.192,46","1.840,80","5,00","11,23","1,04","84,74","4,27","5,30","8,10","8,70","71,40","20.374,16","10,14","115.041,15","11,54","53.010,64","8,52","8,30","1.710,00","32,40","0,00","0,00","36,03","46,87","30,49","14,67","5,53"
Santa Cruz de Tenerife,"310,06","50,93","13,89","44,29","15,06","1.143,98","1.825,80","4,49","15,86","0,77","82,91","3,89","3,20","5,00","5,80","78,00","18.214,84","9,20","137.571,68","18,43","24.071,95","7,34","12,50","2.636,00","29,00","0,00","0,00","44,34","35,35","33,49","0,00","10,85"
Segovia,"22,22","49,82","11,85","46,26","20,89","1.239,08","1.824,70","5,79","10,17","0,50","84,06","3,84","8,30","14,40","8,80","64,10","20.925,37","11,18","103.406,98","11,05","31.305,88","9,27","8,80","1.410,00","31,40","0,00","0,00","38,65","45,02","30,60","14,12","8,05"
Sevilla,"138,81","51,17","4,11","42,14","18,46","1.213,59","1.914,80","3,80","16,25","1,63","81,46","8,81","4,50","8,40","5,80","73,80","18.879,88","13,28","140.905,04","21,14","34.300,87","8,60","9,90","1.737,00","28,60","0,00","1,00","50,64","33,38","36,60","13,32","14,04"
Soria,"8,58","49,34","9,96","47,67","23,29","1.262,33","1.980,10","5,58","7,69","0,61","83,69","2,47","9,70","22,30","8,60","55,50","25.636,12","10,64","115.260,64","11,99","110.000,00","9,23","7,10","1.529,00","30,90","0,00","0,00","32,85","37,22","29,48","9,81","3,37"
Tarragona,"131,70","50,09","16,81","43,35","19,10","1.315,22","2.052,30","4,02","9,59","0,64","82,98","4,10","2,70","17,70","5,80","68,80","25.836,22","15,00","114.574,80","15,79","24.186,12","8,73","8,80","1.778,00","29,10","1,00","1,00","59,32","13,87","32,91","10,34","11,34"
Teruel,"9,08","49,26","11,61","46,72","24,10","1.285,01","1.940,90","6,34","8,31","0,68","83,67","4,74","7,30","19,70","6,80","61,20","23.234,95","8,53","107.626,53","9,75","50.648,85","9,62","6,10","1.268,00","26,90","0,00","0,00","34,71","35,02","29,28","13,08","5,44"
Toledo,"46,42","49,79","10,42","42,74","16,21","1.168,30","1.893,60","4,15","11,93","0,97","82,96","4,19","3,10","15,20","9,60","65,70","17.293,92","12,56","107.515,29","13,58","19.723,43","10,75","6,80","1.023,00","23,40","0,00","0,00","40,79","37,84","32,56","19,64","8,23"
Valencia/València,"241,12","51,05","11,70","43,88","19,49","1.271,31","1.990,80","3,88","11,55","0,84","82,22","4,05","2,20","15,90","6,40","70,40","21.649,44","14,23","110.212,28","21,89","137.746,80","8,09","10,80","1.586,00","31,90","1,00","0,00","49,00","33,64","32,10","15,21","16,90"
Valladolid,"63,87","51,34","5,68","46,74","21,69","1.410,43","2.017,10","3,89","8,88","0,82","83,97","3,57","5,50","15,30","5,60","69,70","25.876,09","13,46","131.731,93","12,61","33.283,31","9,34","7,50","1.607,00","34,50","0,00","0,00","41,62","40,84","32,75","15,16","8,87"
Zamora,"15,83","50,49","3,79","51,33","26,32","1.101,50","1.786,50","6,27","12,66","0,93","84,11","4,17","10,80","11,00","7,00","65,70","19.439,18","6,97","107.708,40","11,18","37.502,67","9,53","5,80","1.147,00","24,90","0,00","0,00","38,14","44,67","32,49","13,20","5,65"
Zaragoza,"55,95","51,07","12,35","44,95","20,76","1.443,44","2.105,10","3,75","8,01","0,71","83,08","4,05","3,60","19,90","4,50","67,60","26.906,72","12,96","134.210,45","14,42","30.151,36","8,71","8,80","1.796,00","34,00","0,00","1,00","44,30","36,01","30,82","15,30","13,48"
